ST,BT,AD,JS,AP,AT,FI,SC,EM,DE,TS,CT,AG,TL
210.82,152.4,4088,4618.181818,212.7,17.6,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,3,35.03937014
210.82,152.4,4183,4618.181818,290.3,17.4,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,4,44.42257143
210.82,152.4,4431,4618.181818,150.3,17.5,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,7,50.0656163
210.82,152.4,4960,4618.181818,157.4,17.5,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,8,55.64304412
210.82,152.4,4754,4618.181818,260.1,17.5,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,9,60.30183639
210.82,152.4,4785,4618.181818,429.5,16.7,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,10,65.81364967
210.82,152.4,4770,4618.181818,261.2,17.6,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,12,61.94225665
210.82,152.4,4790,4618.181818,308.6,18.3,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,14,62.2703419
210.82,152.4,5068,4618.181818,179.2,17.7,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,15,80.64304562
203.2,152.4,3850,4618.181818,385.6,17.7,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,1,19.75065579
203.2,152.4,3850,4618.181818,247.3,17.2,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,2,31.03674616
203.2,152.4,4088,4618.181818,212.7,17.6,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,3,43.37270366
203.2,152.4,4183,4618.181818,290.3,17.4,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,4,39.76377915
203.2,152.4,4431,4618.181818,150.3,17.5,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,7,54.72441045
203.2,152.4,4960,4618.181818,157.4,17.5,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,8,59.84252144
203.2,152.4,4754,4618.181818,260.1,17.5,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,9,59.31758505
203.2,152.4,4785,4618.181818,429.5,16.7,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,10,59.64567029
203.2,152.4,4849,4618.181818,315.9,16.4,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,11,62.66404199
203.2,152.4,4790,4618.181818,308.6,18.3,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,14,66.66666692
203.2,152.4,5068,4618.181818,179.2,17.7,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,15,72.37532633
289.56,147.32,3850,4618.181818,385.6,17.7,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,1,3.149606424
289.56,147.32,3850,4618.181818,247.3,17.2,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,2,2.952755906
289.56,147.32,4088,4618.181818,212.7,17.6,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,3,3.018372641
289.56,147.32,4183,4618.181818,290.3,17.4,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,4,2.821522435
289.56,147.32,4431,4618.181818,150.3,17.5,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,7,2.821522435
289.56,147.32,5068,4618.181818,179.2,17.7,0,24.3385028,29026.9396,2351.509978,2.459131067,8.48E-06,15,2.624671916
281.94,160.02,5068,4618.181818,179.2,17.7,0,42.747512,38817.4988,2362.72285,4.25061954,0.00000887,15,0.32808399
208.28,152.4,3850,4618.181818,385.6,17.7,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,1,25.13123263
208.28,152.4,3850,4618.181818,247.3,17.2,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,2,24.01574906
208.28,152.4,4088,4618.181818,212.7,17.6,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,3,28.93700765
208.28,152.4,4183,4618.181818,290.3,17.4,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,4,32.54593154
208.28,152.4,4431,4618.181818,150.3,17.5,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,7,40.22309661
208.28,152.4,4960,4618.181818,157.4,17.5,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,8,46.9816263
208.28,152.4,4754,4618.181818,260.1,17.5,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,9,50.78740132
208.28,152.4,4785,4618.181818,429.5,16.7,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,10,52.42782127
208.28,152.4,4770,4618.181818,261.2,17.6,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,12,62.66404074
210.82,152.4,4849,4618.181818,315.9,16.4,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,11,70.14435545
208.28,152.4,4849,4618.181818,315.9,16.4,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,11,58.85826571
203.2,152.4,4770,4618.181818,261.2,17.6,0,37.90739048,35335.645,2373.935722,3.57148568,8.48E-06,12,63.32021123
208.28,152.4,4790,4618.181818,308.6,18.3,0,28.7339123,33784.324,2386.75054,3.16469484,8.48E-06,14,60.36745407
203.2,149.86,3850,4618.181818,385.6,17.7,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,1,18.96325466
203.2,149.86,3850,4618.181818,247.3,17.2,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,2,23.68766398
203.2,149.86,4088,4618.181818,212.7,17.6,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,3,31.23359605
203.2,149.86,4183,4618.181818,290.3,17.4,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,4,29.39632558
203.2,149.86,4431,4618.181818,150.3,17.5,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,7,35.69553781
203.2,149.86,4960,4618.181818,157.4,17.5,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,8,37.86089289
203.2,149.86,4754,4618.181818,260.1,17.5,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,9,41.60105087
203.2,149.86,4785,4618.181818,429.5,16.7,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,10,42.97900262
203.2,149.86,4849,4618.181818,315.9,16.4,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,11,49.47506537
203.2,149.86,4770,4618.181818,261.2,17.6,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,12,49.60630009
203.2,149.86,4790,4618.181818,308.6,18.3,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,14,49.08136558
203.2,149.86,5068,4618.181818,179.2,17.7,0,33.70675795,27728.42647,2319.117097,3.28880052,8.48E-06,15,52.69028821
279.4,157.48,3850,4618.181818,385.6,17.7,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,1,2.165354299
279.4,157.48,4088,4618.181818,212.7,17.6,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,3,2.165354299
279.4,157.48,4183,4618.181818,290.3,17.4,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,4,3.543307149
279.4,157.48,4431,4618.181818,150.3,17.5,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,7,5.577427822
279.4,157.48,4960,4618.181818,157.4,17.5,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,8,5.64304487
279.4,157.48,4754,4618.181818,260.1,17.5,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,9,5.446194351
279.4,157.48,4785,4618.181818,429.5,16.7,0,24.10867747,33577.4812,2364.324794,2.783184787,0.0000091,10,5.380577303
