ST,BT,BL,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,LC
208.28,162.56,1,5170,4618.181818,1378.300049,16,11,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,18,110.892387
281.94,154.94,1,4331,4618.181818,1265.800049,16.29999924,23,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,7,0.262467196
281.94,154.94,1,4691,4618.181818,1173.599976,16.39999962,24,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,8,0.262467196
281.94,154.94,1,4328,4618.181818,1565,16.60000038,31,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,9,0.262467196
281.94,154.94,1,5443,4618.181818,1425.800049,17,20,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,12,0.32808399
281.94,154.94,1,5062,4618.181818,1696.099976,16,24,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,13,0.32808399
281.94,154.94,1,5031,4618.181818,993.5,17.20000076,56,37.70897461,22407.97,2.2473956,3.849574333,5.08833288,9.53E-06,15,0.32808399
248.92,162.56,1,1066,4354.285714,1418.699951,16.39999962,38,32.10889732,30301.24321,2.257807649,5.20611787,3.84038132,0.000008275,18,102.9527582
248.92,162.56,1,1169,4354.285714,1034.300049,16.79999924,62,32.10889732,30301.24321,2.257807649,5.20611787,3.84038132,0.000008275,21,111.7454063
248.92,162.56,1,2563,4354.285714,1395.199951,16.89999962,26,32.10889732,30301.24321,2.257807649,5.20611787,3.84038132,0.000008275,22,110.0393681
248.92,162.56,1,1129,4354.285714,1351.099976,16.70000076,16,32.10889732,30301.24321,2.257807649,5.20611787,3.84038132,0.000008275,23,111.679788
