ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
205.740,154.940,4371.000,4.119,251.700,23.100,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,17.00,0.00,0.00,5.10
205.740,154.940,4513.000,4.119,113.600,22.900,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,18.00,0.00,0.00,4.50
205.740,154.940,4417.000,4.119,102.800,23.700,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,19.00,0.00,0.00,5.10
205.740,154.940,4436.000,4.119,245.900,23.300,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,21.00,0.00,0.00,5.80
205.740,154.940,6166.000,4.119,193.900,23.600,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,23.00,0.00,0.00,5.40
208.280,111.760,2746.000,4.119,183.100,22.800,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,2.00,0.00,0.00,0.90
208.280,111.760,2800.000,4.119,151.100,23.100,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,4.00,0.00,0.00,0.60
208.280,111.760,7674.000,4.119,152.200,22.100,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,6.00,0.00,0.00,0.50
208.280,111.760,4391.000,4.119,228.800,23.100,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,11.00,0.00,0.00,0.60
208.280,111.760,4371.000,4.119,251.700,23.100,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,17.00,0.00,0.00,1.00
208.280,111.760,4436.000,4.119,245.900,23.300,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,21.00,0.00,0.00,0.50
208.280,111.760,4698.000,4.119,190.600,23.300,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,22.00,0.00,0.00,0.80
205.740,154.940,4698.000,4.119,190.600,23.300,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,22.00,0.00,0.00,6.50
208.280,111.760,8472.000,4.119,212.800,22.700,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,7.00,0.00,0.00,0.60
